Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,721,721,Ponparkyin(ST),MMR016008
 Rural,5,6608,6613,Ponparkyin(ST),MMR016008
 Total,5,7329,7334,Ponparkyin(ST),MMR016008
