Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,5224,5224,Panglong(ST),MMR014011
 Rural,-,9292,9292,Panglong(ST),MMR014011
 Total,-,14516,14516,Panglong(ST),MMR014011
