Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,779,779,Manton,MMR015019
 Rural,3,6901,6904,Manton,MMR015019
 Total,3,7680,7683,Manton,MMR015019
