Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,6874,6874,Pyawbwe,MMR010024
 Rural,17,51972,51989,Pyawbwe,MMR010024
 Total,17,58846,58863,Pyawbwe,MMR010024
