Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,63,2403,2466,Ponnagyun,MMR012002
 Rural,656,22213,22869,Ponnagyun,MMR012002
 Total,719,24616,25335,Ponnagyun,MMR012002
