Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,5,2228,2233,Momeik,MMR015017
 Rural,193,11226,11419,Momeik,MMR015017
 Total,198,13454,13652,Momeik,MMR015017
