Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,118,2423,2541,Ngaputaw,MMR017004
 Rural,3909,30926,34835,Ngaputaw,MMR017004
 Total,4027,33349,37376,Ngaputaw,MMR017004
