Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,2842,2842,Natogyi,MMR010019
 Rural,15,38108,38123,Natogyi,MMR010019
 Total,15,40950,40965,Natogyi,MMR010019
