Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,32,5967,5999,Kyonpyaw,MMR017005
 Rural,679,52810,53489,Kyonpyaw,MMR017005
 Total,711,58777,59488,Kyonpyaw,MMR017005
