Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,5,8486,8491,Kyaukse,MMR010013
 Rural,62,49212,49274,Kyaukse,MMR010013
 Total,67,57698,57765,Kyaukse,MMR010013
