Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,2,1156,1158,Kunlon,MMR015020
 Rural,6,9228,9234,Kunlon,MMR015020
 Total,8,10384,10392,Kunlon,MMR015020
