Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,506,507,Minesan(Monsan)(ST),MMR014017
 Rural,2,6157,6159,Minesan(Monsan)(ST),MMR014017
 Total,3,6663,6666,Minesan(Monsan)(ST),MMR014017
