Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,58,704,762,Kenglat(ST),MMR016009
 Rural,10,1704,1714,Kenglat(ST),MMR016009
 Total,68,2408,2476,Kenglat(ST),MMR016009
