Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,4346,4346,Myitthar,MMR010015
 Rural,31,41640,41671,Myitthar,MMR010015
 Total,31,45986,46017,Myitthar,MMR010015
