Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,5677,5677,Yatsauk,MMR014008
 Rural,17,20263,20280,Yatsauk,MMR014008
 Total,17,25940,25957,Yatsauk,MMR014008
