Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,111,4143,4254,Kyaukpyu,MMR012011
 Rural,2282,30728,33010,Kyaukpyu,MMR012011
 Total,2393,34871,37264,Kyaukpyu,MMR012011
