Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,1,2102,2103,Mone`,MMR014019
 Rural,-,4121,4121,Mone`,MMR014019
 Total,1,6223,6224,Mone`,MMR014019
