Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,202,7072,7274,Myauk U,MMR012003
 Rural,2548,31703,34251,Myauk U,MMR012003
 Total,2750,38775,41525,Myauk U,MMR012003
