Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,147,1646,1793,Tagaung,MMR010012
 Rural,371,5228,5599,Tagaung,MMR010012
 Total,518,6874,7392,Tagaung,MMR010012
