Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,23,10769,10792,Mudon,MMR011005
 Rural,494,28026,28520,Mudon,MMR011005
 Total,517,38795,39312,Mudon,MMR011005
