Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,30,3920,3950,Kyaungon,MMR017007
 Rural,384,37068,37452,Kyaungon,MMR017007
 Total,414,40988,41402,Kyaungon,MMR017007
