Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,197,7006,7203,Labutta,MMR017016
 Rural,5564,42379,47943,Labutta,MMR017016
 Total,5761,49385,55146,Labutta,MMR017016
