Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,238,3311,3549,Hainggyikyun(ST),MMR017004
 Rural,2617,22909,25526,Hainggyikyun(ST),MMR017004
 Total,2855,26220,29075,Hainggyikyun(ST),MMR017004
