Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,6808,6808,Tantyan,MMR015004
 Rural,11,28323,28334,Tantyan,MMR015004
 Total,11,35131,35142,Tantyan,MMR015004
