Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,4,12594,12598,Kalaw,MMR014005
 Rural,15,28728,28743,Kalaw,MMR014005
 Total,19,41322,41341,Kalaw,MMR014005
