Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,176,12337,12513,Myaungmya,MMR017014
 Rural,4552,49107,53659,Myaungmya,MMR017014
 Total,4728,61444,66172,Myaungmya,MMR017014
