Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Urban,-,4895,4895,Ottarathiri,MMR018008
 Rural,12,13754,13766,Ottarathiri,MMR018008
 Total,12,18649,18661,Ottarathiri,MMR018008
