Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2361,2800,3117,3458,3477,3421,3677,3803,3424,3565,3734,3426,3924,3790,3381,3024,2615,2359,2613,2020,2334,1833,2016,2037,1788,2332,1851,2037,2130,1808,2353,1884,1936,2063,1740,2321,1730,1826,2022,1796,2128,1376,2095,1750,1567,2104,1645,1475,1660,1388,1650,1212,1312,1382,1058,1428,1100,975,986,782,1075,701,790,844,716,879,622,626,502,333,587,258,321,325,289,497,265,170,264,125,167,94,131,106,86,103,65,43,32,22,110,144047,Tanatpin,MMR007002
 Yes - some difficulty,2,3,-,1,1,5,1,6,3,3,7,6,3,-,1,5,1,1,2,3,5,2,1,1,-,3,5,3,7,2,3,2,3,1,4,11,5,7,8,7,9,2,10,7,7,15,5,6,9,9,13,9,10,16,11,18,12,11,18,12,21,13,14,19,17,35,22,25,22,16,34,16,24,25,25,45,21,21,30,14,35,22,19,23,23,14,16,12,11,6,35,1018,Tanatpin,MMR007002
 Yes - a lot of difficulty,-,-,-,-,1,-,2,-,-,2,-,1,1,-,1,-,3,-,1,1,1,-,3,-,-,-,1,-,-,1,1,-,1,1,2,1,1,2,-,1,-,-,1,-,-,3,1,2,-,1,1,2,-,1,1,2,3,1,1,1,3,-,3,2,3,5,3,5,3,3,2,1,1,2,3,6,1,3,1,1,3,1,4,4,4,9,3,1,1,-,10,141,Tanatpin,MMR007002
 Yes - cannot hear at all,-,-,-,-,-,-,-,1,1,1,2,-,-,2,2,2,-,1,1,-,1,3,-,-,2,-,1,-,-,1,2,-,1,1,1,-,-,1,-,-,-,1,-,-,1,2,-,-,1,1,2,-,-,1,-,-,-,-,1,3,-,-,-,1,-,1,2,1,-,-,1,-,-,1,2,1,2,2,6,3,1,1,2,2,2,1,1,1,-,-,7,81,Tanatpin,MMR007002
 Total,2363,2803,3117,3459,3479,3426,3680,3810,3428,3571,3743,3433,3928,3792,3385,3031,2619,2361,2617,2024,2341,1838,2020,2038,1790,2335,1858,2040,2137,1812,2359,1886,1941,2066,1747,2333,1736,1836,2030,1804,2137,1379,2106,1757,1575,2124,1651,1483,1670,1399,1666,1223,1322,1400,1070,1448,1115,987,1006,798,1099,714,807,866,736,920,649,657,527,352,624,275,346,353,319,549,289,196,301,143,206,118,156,135,115,127,85,57,44,28,162,145287,Tanatpin,MMR007002
