Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1902,2021,1980,2360,2147,2142,2279,2253,2359,2355,2436,2373,2641,2855,2440,2058,1682,1420,1693,1353,1582,1272,1292,1422,1290,1595,1349,1496,1446,1343,1661,1218,1415,1406,1150,1643,1249,1201,1456,1075,1346,968,1451,1244,981,1533,1028,997,1155,889,1106,813,1035,1012,874,1206,927,770,830,536,884,452,584,584,495,753,359,360,280,161,364,190,268,255,200,405,198,140,204,79,156,63,90,96,91,117,60,44,48,20,126,99137,Yebyu,MMR006004
 Yes - some difficulty,1,1,3,1,1,7,4,10,9,11,8,6,8,13,12,7,5,6,3,1,4,9,7,3,3,7,5,4,9,3,8,4,7,8,5,5,2,11,12,12,8,6,12,19,8,20,15,6,20,10,20,12,18,16,14,32,21,22,18,16,34,10,19,22,27,42,19,27,17,19,27,14,25,25,24,63,22,22,34,22,36,15,27,14,18,30,26,14,9,11,56,1328,Yebyu,MMR006004
 Yes - a lot of difficulty,-,-,1,-,1,1,1,1,-,1,2,1,1,1,1,-,2,-,4,-,1,-,1,-,-,-,-,-,1,2,1,-,1,1,2,2,1,2,1,-,1,-,1,1,-,-,3,5,1,4,1,1,4,-,-,6,5,2,1,5,3,2,4,1,1,6,5,3,1,2,4,2,8,7,3,4,9,4,4,3,4,2,7,3,3,6,3,2,4,3,21,209,Yebyu,MMR006004
 Yes - cannot hear at all,-,-,-,-,-,1,2,3,1,-,1,3,-,2,3,1,1,-,1,-,1,4,-,1,-,1,-,-,-,-,3,1,1,2,-,3,1,-,3,1,-,1,-,1,-,1,1,-,-,-,1,1,-,-,1,2,-,1,1,1,1,-,-,2,-,5,1,1,-,-,3,1,-,-,-,2,1,-,2,-,3,-,1,2,2,3,1,-,-,1,9,94,Yebyu,MMR006004
 Total,1903,2022,1984,2361,2149,2151,2286,2267,2369,2367,2447,2383,2650,2871,2456,2066,1690,1426,1701,1354,1588,1285,1300,1426,1293,1603,1354,1500,1456,1348,1673,1223,1424,1417,1157,1653,1253,1214,1472,1088,1355,975,1464,1265,989,1554,1047,1008,1176,903,1128,827,1057,1028,889,1246,953,795,850,558,922,464,607,609,523,806,384,391,298,182,398,207,301,287,227,474,230,166,244,104,199,80,125,115,114,156,90,60,61,35,212,100768,Yebyu,MMR006004
