Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4044,3983,4374,4709,4953,4640,4616,5018,4507,4658,4974,5017,5276,5483,5297,5025,4299,4452,4794,3927,4810,4034,4097,4035,3849,4623,3787,4114,4315,4121,5083,3679,4136,4026,3512,4704,3508,3638,3869,3192,4164,2854,3767,3380,2859,4128,2953,3063,2925,2505,3166,2566,2629,2655,2434,3128,2175,2140,2074,1707,2287,1496,1696,1618,1410,1703,1064,1326,960,726,1212,521,634,666,589,1161,510,551,584,354,504,302,325,334,272,300,173,140,117,61,299,256345,Taungdwingyi,MMR009004
 Yes - some difficulty,13,4,1,2,3,7,5,7,8,8,6,6,16,2,10,9,9,12,2,5,6,8,6,4,11,3,7,4,11,8,10,12,9,10,11,11,10,19,11,9,17,15,9,19,10,19,17,22,26,33,37,30,24,29,38,49,28,33,47,34,39,50,53,63,63,87,49,75,56,41,85,47,66,68,62,173,72,74,98,70,111,60,83,67,58,66,44,43,34,25,89,2922,Taungdwingyi,MMR009004
 Yes - a lot of difficulty,2,2,1,1,3,-,2,1,-,4,4,1,3,1,4,1,5,-,2,-,4,4,1,2,-,2,1,3,1,-,1,-,2,3,2,6,1,4,1,3,5,3,2,1,3,1,3,3,3,3,2,4,6,6,7,4,7,5,3,3,2,7,10,5,6,9,6,10,5,6,5,2,5,5,9,21,6,14,9,8,19,12,16,17,9,16,5,14,4,4,38,456,Taungdwingyi,MMR009004
 Yes - cannot hear at all,3,1,1,-,2,1,-,-,2,-,2,-,1,2,2,1,1,-,3,1,3,1,-,1,-,2,1,1,1,1,3,2,1,-,-,4,-,1,2,2,4,-,1,4,1,4,-,1,-,1,1,2,2,1,1,2,4,-,-,-,3,1,1,-,1,-,-,2,-,-,2,2,1,3,2,5,2,2,2,1,6,3,4,3,3,2,-,-,3,-,5,137,Taungdwingyi,MMR009004
 Total,4062,3990,4377,4712,4961,4648,4623,5026,4517,4670,4986,5024,5296,5488,5313,5036,4314,4464,4801,3933,4823,4047,4104,4042,3860,4630,3796,4122,4328,4130,5097,3693,4148,4039,3525,4725,3519,3662,3883,3206,4190,2872,3779,3404,2873,4152,2973,3089,2954,2542,3206,2602,2661,2691,2480,3183,2214,2178,2124,1744,2331,1554,1760,1686,1480,1799,1119,1413,1021,773,1304,572,706,742,662,1360,590,641,693,433,640,377,428,421,342,384,222,197,158,90,431,259860,Taungdwingyi,MMR009004
