Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2245,2330,2394,2678,2626,2384,2792,2763,2671,2884,2954,2667,2877,2825,2551,2386,2328,2530,2622,2346,2785,2461,2577,2352,2099,2651,2105,2316,2422,2046,2643,1935,1983,2009,1750,2184,1630,1751,1836,1533,1895,1327,1592,1534,1365,1701,1112,1215,1286,1037,1345,930,1026,1015,938,1141,809,714,733,603,862,461,519,469,412,525,292,295,238,170,330,148,157,184,148,214,103,115,103,60,124,55,60,37,46,40,33,25,24,11,74,124573,Yatsauk,MMR014008
 Yes - some difficulty,9,3,1,1,2,2,4,6,13,10,10,8,7,9,9,7,10,8,7,8,14,8,9,11,11,4,6,11,14,11,18,9,9,19,7,15,18,16,16,9,22,15,29,26,16,31,15,15,32,25,31,20,27,40,37,42,34,40,37,37,52,30,28,34,35,36,27,29,24,22,43,17,33,34,29,37,24,19,16,7,19,14,13,11,14,17,7,4,9,2,20,1646,Yatsauk,MMR014008
 Yes - a lot of difficulty,5,-,-,-,-,1,1,1,-,1,2,1,-,2,1,-,-,1,1,2,2,3,1,1,-,1,2,-,2,2,2,1,3,4,-,3,4,1,2,2,3,3,3,2,1,3,3,3,2,4,4,1,5,5,4,3,4,3,5,3,2,4,1,4,6,2,2,3,3,4,1,5,4,2,3,5,6,2,4,3,9,3,5,1,2,1,1,1,3,-,4,215,Yatsauk,MMR014008
 Yes - cannot hear at all,-,-,2,1,2,2,1,2,-,1,2,4,2,-,2,2,1,1,2,-,3,1,1,1,1,1,3,-,4,4,5,2,1,1,1,2,1,1,3,1,1,-,2,-,1,2,2,-,-,-,3,2,2,-,2,1,2,1,1,1,3,1,2,1,-,4,-,2,4,2,1,-,-,1,1,2,3,-,2,1,4,3,1,1,-,-,1,1,-,-,5,133,Yatsauk,MMR014008
 Total,2259,2333,2397,2680,2630,2389,2798,2772,2684,2896,2968,2680,2886,2836,2563,2395,2339,2540,2632,2356,2804,2473,2588,2365,2111,2657,2116,2327,2442,2063,2668,1947,1996,2033,1758,2204,1653,1769,1857,1545,1921,1345,1626,1562,1383,1737,1132,1233,1320,1066,1383,953,1060,1060,981,1187,849,758,776,644,919,496,550,508,453,567,321,329,269,198,375,170,194,221,181,258,136,136,125,71,156,75,79,50,62,58,42,31,36,13,103,126567,Yatsauk,MMR014008
