Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,538,443,470,467,425,451,477,457,511,448,457,472,549,533,497,468,464,419,488,406,429,358,364,395,376,415,368,415,379,380,439,309,370,304,295,321,308,263,285,193,340,210,295,282,267,337,209,187,253,181,301,163,202,207,221,218,208,173,166,129,224,118,116,123,104,128,85,97,87,54,105,43,46,49,41,61,38,24,38,17,43,16,16,22,21,20,8,15,12,10,41,22777,Pansai(KyuKute)(ST),MMR015009
 Yes - some difficulty,-,-,-,-,-,-,1,2,1,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,1,2,1,1,-,-,3,1,1,-,-,-,1,2,-,2,-,1,1,1,-,2,1,1,1,-,2,-,1,3,4,2,4,1,2,1,4,1,-,2,1,5,4,2,4,-,6,4,1,2,1,3,2,4,2,3,7,-,4,4,1,2,3,1,3,4,10,140,Pansai(KyuKute)(ST),MMR015009
 Yes - a lot of difficulty,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,2,-,4,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,4,23,Pansai(KyuKute)(ST),MMR015009
 Yes - cannot hear at all,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,10,Pansai(KyuKute)(ST),MMR015009
 Total,538,443,470,467,425,451,478,459,512,448,458,472,550,533,497,469,464,419,488,406,430,358,364,396,377,418,369,416,380,380,443,310,371,304,295,321,309,265,286,195,341,211,296,284,267,339,210,188,254,181,303,163,203,210,225,220,213,174,168,131,230,120,116,125,105,135,89,103,92,54,111,47,49,51,43,65,40,28,41,20,50,16,21,27,22,23,11,16,15,14,56,22950,Pansai(KyuKute)(ST),MMR015009
