Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,737,718,784,741,867,781,840,909,952,931,1080,1121,1221,1531,1623,1586,1823,1923,2368,2172,2643,2396,2345,2396,2107,2258,1972,1903,1905,1744,2058,1585,1658,1514,1406,1593,1400,1305,1507,1342,1552,1165,1474,1271,1177,1466,1226,1210,1305,1144,1282,1034,1126,1150,1109,1085,923,938,964,821,961,692,727,720,620,693,518,587,483,349,448,284,292,357,315,413,256,227,271,193,188,177,173,169,134,120,108,72,75,69,211,96069,Bahan,MMR013044
 Yes - some difficulty,-,-,1,-,-,-,1,-,-,-,-,2,-,2,1,-,3,3,1,2,1,1,1,2,1,3,-,1,1,1,4,1,1,3,-,4,2,-,1,1,3,1,3,4,2,1,4,4,7,2,6,5,3,2,8,7,7,6,13,6,8,6,9,13,10,13,2,7,10,7,10,15,6,9,9,19,16,12,14,14,13,10,12,12,10,17,12,10,18,5,55,522,Bahan,MMR013044
 Yes - a lot of difficulty,-,-,-,-,-,-,-,1,-,-,-,3,-,-,-,-,-,-,-,1,2,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,1,-,1,3,4,1,-,1,2,1,2,2,2,-,1,-,-,3,-,1,1,3,1,-,2,2,1,2,3,-,1,4,4,-,1,2,3,13,81,Bahan,MMR013044
 Yes - cannot hear at all,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,2,1,-,1,2,1,2,-,2,-,-,1,-,1,2,-,-,-,-,2,-,-,-,1,-,1,-,1,-,-,-,2,-,1,-,-,1,1,2,-,1,3,-,-,-,-,-,-,1,-,2,1,1,-,-,1,2,1,2,-,3,7,60,Bahan,MMR013044
 Total,737,718,785,741,867,781,841,911,953,932,1080,1127,1222,1533,1624,1586,1827,1926,2369,2175,2646,2398,2347,2398,2108,2262,1973,1904,1907,1747,2063,1586,1660,1519,1407,1599,1402,1307,1508,1343,1556,1167,1478,1278,1179,1467,1230,1214,1314,1146,1288,1039,1131,1153,1118,1093,934,948,978,827,972,700,738,735,632,709,521,597,493,357,464,299,299,367,327,433,272,242,287,210,204,191,185,182,149,143,121,85,95,80,286,96732,Bahan,MMR013044
