Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4794,4747,4958,5147,5154,5584,5572,5283,4898,4875,5570,5165,5477,5419,5142,5063,4557,4465,5023,3854,5183,3929,4311,4153,3774,4933,3901,3983,4425,3668,5015,4008,4110,4140,3417,4635,3397,3514,3941,3223,3971,2851,3974,3046,2952,3646,2922,2751,3266,2551,3162,2542,2588,2692,2339,2906,2216,1938,2094,1752,2449,1538,1560,1647,1383,1707,1094,974,766,506,905,481,592,596,487,883,448,351,406,222,388,226,229,216,192,196,133,87,78,49,234,259589,Pantanaw,MMR017020
 Yes - some difficulty,47,11,7,9,10,13,12,11,20,12,19,10,13,16,9,11,9,6,10,6,14,6,11,8,11,19,11,7,15,12,26,21,15,23,17,20,23,16,19,11,27,23,43,24,28,37,38,33,53,48,68,47,60,61,60,86,79,67,74,63,113,78,84,109,104,109,79,89,68,50,131,55,97,108,80,158,80,69,91,77,105,78,74,86,72,74,45,30,24,20,87,4109,Pantanaw,MMR017020
 Yes - a lot of difficulty,12,2,2,1,2,3,3,1,5,3,2,1,4,2,4,-,4,4,5,4,7,3,-,-,-,2,3,1,3,1,4,2,-,2,4,3,2,2,3,1,7,2,3,6,3,1,5,7,8,-,11,6,5,6,7,8,7,5,7,4,12,5,6,12,8,12,7,7,10,8,12,8,20,12,17,24,14,12,17,8,25,11,20,29,17,17,14,9,8,8,40,644,Pantanaw,MMR017020
 Yes - cannot hear at all,2,1,2,2,-,1,3,4,2,5,3,2,2,4,1,-,3,2,5,2,14,5,1,2,-,2,2,3,5,2,2,-,3,10,3,2,2,2,1,2,4,-,1,5,-,1,4,1,2,1,4,4,2,3,1,2,3,2,1,2,4,1,3,1,1,4,5,5,3,4,5,3,2,1,4,7,2,1,6,2,5,4,7,6,2,1,5,2,1,-,5,254,Pantanaw,MMR017020
 Total,4855,4761,4969,5159,5166,5601,5590,5299,4925,4895,5594,5178,5496,5441,5156,5074,4573,4477,5043,3866,5218,3943,4323,4163,3785,4956,3917,3994,4448,3683,5047,4031,4128,4175,3441,4660,3424,3534,3964,3237,4009,2876,4021,3081,2983,3685,2969,2792,3329,2600,3245,2599,2655,2762,2407,3002,2305,2012,2176,1821,2578,1622,1653,1769,1496,1832,1185,1075,847,568,1053,547,711,717,588,1072,544,433,520,309,523,319,330,337,283,288,197,128,111,77,366,264596,Pantanaw,MMR017020
