Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2628,2409,2776,3585,3641,4063,3982,4273,4100,4068,4452,3931,5017,5120,3926,3884,3310,2947,4149,2700,3299,2171,2505,2663,2503,3515,2294,2365,2860,2060,3152,1843,2202,2140,1621,2764,1630,1727,2167,1303,2247,1234,2272,1750,1568,2584,1597,1402,1984,1154,2243,1297,1600,1728,1340,2032,1407,1058,1233,703,1492,598,798,734,637,1152,502,576,470,259,708,193,303,304,230,448,238,177,229,80,287,75,104,112,74,108,56,35,28,19,102,165306,Minbya,MMR012005
 Yes - some difficulty,19,3,2,1,4,1,1,6,4,6,9,6,7,7,4,5,3,5,11,2,9,1,6,6,5,8,4,4,3,5,14,4,7,6,7,8,9,7,11,5,21,14,18,5,12,21,14,7,27,17,48,21,34,39,36,63,52,43,57,39,116,50,76,80,86,137,74,81,71,44,192,51,79,86,70,150,78,63,105,31,122,33,66,43,37,53,18,18,20,15,69,3037,Minbya,MMR012005
 Yes - a lot of difficulty,11,1,1,1,1,-,2,5,4,1,3,1,-,3,2,2,1,3,4,2,2,2,3,2,2,3,3,4,1,2,4,1,2,1,2,4,1,1,3,-,1,3,1,4,1,4,5,4,2,3,7,3,5,6,9,12,8,8,6,3,25,4,9,8,6,12,9,11,8,5,28,6,16,14,7,27,14,13,22,6,37,12,19,14,8,20,11,10,9,5,18,599,Minbya,MMR012005
 Yes - cannot hear at all,2,-,-,1,1,2,1,3,1,2,4,1,-,4,-,3,-,-,5,3,1,4,-,2,-,1,1,2,2,1,5,5,1,2,1,2,2,-,2,-,2,2,3,2,1,4,-,-,4,1,2,3,4,1,-,4,2,3,4,2,4,2,5,3,2,7,3,6,2,2,7,5,3,2,2,19,5,3,8,4,18,4,7,3,2,10,3,2,1,-,11,266,Minbya,MMR012005
 Total,2660,2413,2779,3588,3647,4066,3986,4287,4109,4077,4468,3939,5024,5134,3932,3894,3314,2955,4169,2707,3311,2178,2514,2673,2510,3527,2302,2375,2866,2068,3175,1853,2212,2149,1631,2778,1642,1735,2183,1308,2271,1253,2294,1761,1582,2613,1616,1413,2017,1175,2300,1324,1643,1774,1385,2111,1469,1112,1300,747,1637,654,888,825,731,1308,588,674,551,310,935,255,401,406,309,644,335,256,364,121,464,124,196,172,121,191,88,65,58,39,200,169208,Minbya,MMR012005
