Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1837,1965,1978,2122,2227,2091,2184,2335,2236,2318,2376,2323,2503,2782,2713,2527,2190,2280,2711,2412,2767,2423,2394,2286,1985,2455,2060,2186,2497,2036,2664,1968,2144,2214,1861,2387,1953,1964,2318,1942,2328,1562,2240,1890,1634,2076,1577,1616,1709,1485,1638,1216,1374,1414,1220,1421,1207,979,985,894,1180,705,776,814,652,863,598,654,479,333,464,246,268,287,253,386,200,164,230,134,180,114,117,100,99,106,75,63,39,43,121,131822,Kyauktan,MMR013024
 Yes - some difficulty,8,-,-,3,3,1,1,3,2,4,4,7,2,7,3,5,3,2,2,2,3,-,2,-,3,3,3,6,2,6,4,4,3,6,4,3,4,2,5,3,5,8,2,7,4,10,3,6,10,7,7,3,10,13,10,12,16,10,10,10,16,16,11,13,10,17,14,21,16,10,21,13,10,17,18,36,15,14,16,12,25,14,13,13,13,17,11,8,13,3,26,763,Kyauktan,MMR013024
 Yes - a lot of difficulty,1,-,-,-,-,-,-,-,2,-,1,-,-,1,-,1,1,2,2,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,1,-,-,2,1,-,-,-,1,-,1,-,2,-,3,-,-,1,1,2,2,2,-,2,1,-,3,2,1,1,-,3,1,2,3,-,1,1,1,3,1,1,-,1,4,3,3,2,5,5,2,6,-,1,2,1,4,99,Kyauktan,MMR013024
 Yes - cannot hear at all,-,1,2,-,-,1,1,-,-,2,4,3,-,2,1,-,-,-,1,2,3,1,-,1,-,1,3,2,-,1,-,-,1,3,1,2,-,2,-,-,-,2,-,1,1,-,1,-,-,-,2,-,2,-,-,1,-,-,-,-,-,1,-,1,1,1,2,2,1,-,3,-,-,1,-,1,-,-,-,2,1,2,-,1,-,-,-,3,1,1,5,81,Kyauktan,MMR013024
 Total,1846,1966,1980,2125,2230,2093,2186,2338,2240,2324,2385,2333,2505,2792,2717,2533,2194,2284,2716,2416,2773,2424,2396,2287,1989,2459,2066,2194,2500,2043,2668,1972,2149,2223,1867,2392,1957,1970,2324,1945,2333,1572,2243,1898,1640,2086,1583,1622,1722,1492,1647,1220,1387,1429,1232,1436,1223,991,996,904,1199,724,788,829,663,884,615,679,499,343,489,260,279,308,272,424,215,179,250,151,209,132,135,119,114,129,86,75,55,48,156,132765,Kyauktan,MMR013024
