Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2824,2979,3193,3376,3682,3389,3641,3778,3625,3352,3560,3239,3762,3883,3770,3341,3293,3470,3885,3463,4137,3421,3577,3492,3441,4011,3316,3425,3666,3234,4269,2666,3293,3075,2706,3218,2462,2306,2803,2232,2741,1778,2464,2397,1988,2728,1972,1851,2066,1734,2159,1496,1725,1684,1543,1979,1466,1328,1340,1046,1436,846,940,914,754,1046,642,779,585,427,641,303,355,381,330,664,339,241,297,152,322,133,210,193,112,201,87,79,47,48,192,185436,Pyinmana,MMR018006
 Yes - some difficulty,13,3,2,3,3,-,7,7,6,9,5,5,8,7,10,8,11,6,9,5,5,5,4,4,4,3,6,6,8,4,11,9,9,7,7,11,2,11,12,16,10,8,15,15,11,20,10,12,13,14,29,16,21,18,26,36,27,25,29,21,54,21,30,34,43,39,32,39,27,22,67,30,23,41,34,67,23,23,32,21,50,25,37,33,25,38,27,11,14,13,63,1685,Pyinmana,MMR018006
 Yes - a lot of difficulty,5,3,2,1,1,-,2,1,2,2,1,1,1,2,1,1,-,2,2,2,3,1,1,2,-,3,-,4,1,-,2,2,1,3,2,1,2,1,3,-,3,3,-,3,2,1,4,2,1,2,4,5,4,4,2,2,3,5,2,5,5,6,5,3,3,8,2,7,4,2,6,1,7,7,2,6,4,6,6,5,5,6,1,3,9,2,1,3,-,3,13,262,Pyinmana,MMR018006
 Yes - cannot hear at all,1,3,1,-,2,1,2,3,-,2,2,2,3,2,5,1,2,2,3,1,1,1,1,2,1,-,2,-,2,2,3,-,1,1,3,4,-,3,-,1,4,-,4,2,1,-,-,2,-,2,3,1,1,2,1,1,3,2,1,-,5,1,4,3,2,4,6,4,-,1,4,2,2,1,1,2,1,2,6,1,4,2,-,2,5,6,6,3,-,-,6,182,Pyinmana,MMR018006
 Total,2843,2988,3198,3380,3688,3390,3652,3789,3633,3365,3568,3247,3774,3894,3786,3351,3306,3480,3899,3471,4146,3428,3583,3500,3446,4017,3324,3435,3677,3240,4285,2677,3304,3086,2718,3234,2466,2321,2818,2249,2758,1789,2483,2417,2002,2749,1986,1867,2080,1752,2195,1518,1751,1708,1572,2018,1499,1360,1372,1072,1500,874,979,954,802,1097,682,829,616,452,718,336,387,430,367,739,367,272,341,179,381,166,248,231,151,247,121,96,61,64,274,187565,Pyinmana,MMR018006
