Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4329,4544,5007,5451,5844,4971,5516,5908,5447,5453,5675,5520,6167,6425,6261,5454,5149,5714,6217,5361,6140,4878,4787,4600,4627,5350,4234,4643,4893,4487,5917,4085,4666,4303,3959,5434,3795,4069,4825,3923,5239,3546,4581,4514,3720,5465,3677,3847,3965,3152,4069,2703,3014,3092,2815,3524,2464,2506,2740,2048,3152,1805,2127,2051,1837,2590,1551,1971,1516,972,1793,805,1000,981,751,1397,682,634,700,378,775,330,387,347,274,396,207,194,135,88,446,306981,Meiktila,MMR010028
 Yes - some difficulty,5,6,5,1,6,1,2,5,6,4,12,6,10,9,8,9,2,5,5,3,7,7,5,7,2,8,7,12,9,9,8,7,6,4,6,17,9,6,10,12,20,11,16,10,13,25,15,15,23,16,33,12,24,20,19,23,21,38,28,18,50,16,43,34,41,77,22,49,47,32,81,32,51,50,42,94,42,56,60,40,86,37,58,46,48,68,34,29,22,20,105,2180,Meiktila,MMR010028
 Yes - a lot of difficulty,9,3,1,2,-,1,3,1,-,-,1,2,2,-,-,-,-,5,3,2,1,-,2,2,-,1,-,1,2,1,2,-,3,-,-,2,2,1,-,-,3,2,1,-,2,5,1,1,4,2,6,5,2,1,-,5,2,2,4,2,10,3,3,3,3,7,2,5,2,3,3,4,6,5,3,10,3,9,11,8,13,4,4,4,6,7,10,4,7,4,23,294,Meiktila,MMR010028
 Yes - cannot hear at all,-,1,-,3,2,-,1,3,4,2,1,2,3,2,5,3,1,-,2,2,2,2,-,1,3,2,-,4,3,-,3,-,2,1,1,1,1,1,2,2,5,-,5,2,2,4,6,1,8,1,3,3,3,1,1,5,1,1,1,1,5,-,4,4,3,6,2,4,2,-,1,2,-,-,2,4,2,5,4,1,6,3,3,4,2,7,-,2,-,1,7,208,Meiktila,MMR010028
 Total,4343,4554,5013,5457,5852,4973,5522,5917,5457,5459,5689,5530,6182,6436,6274,5466,5152,5724,6227,5368,6150,4887,4794,4610,4632,5361,4241,4660,4907,4497,5930,4092,4677,4308,3966,5454,3807,4077,4837,3937,5267,3559,4603,4526,3737,5499,3699,3864,4000,3171,4111,2723,3043,3114,2835,3557,2488,2547,2773,2069,3217,1824,2177,2092,1884,2680,1577,2029,1567,1007,1878,843,1057,1036,798,1505,729,704,775,427,880,374,452,401,330,478,251,229,164,113,581,309663,Meiktila,MMR010028
