Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,980,1067,1279,1361,1203,1408,1323,1277,1438,1086,1706,1101,1432,1156,882,1348,913,947,1391,708,1859,648,950,805,632,1754,669,742,952,591,2393,422,620,539,498,1734,548,583,777,397,2029,341,618,549,335,1556,462,457,584,316,1724,281,462,442,395,901,496,345,385,209,1064,136,197,196,115,429,97,128,99,42,392,42,64,48,40,136,42,21,48,17,163,8,21,22,11,36,9,13,6,9,56,58713,Mineye`,MMR015003
 Yes - some difficulty,1,-,-,-,-,1,2,-,1,2,1,2,-,4,4,1,-,2,1,-,8,2,-,5,2,6,4,4,2,2,22,4,4,-,1,9,1,5,4,4,19,2,2,4,1,14,3,2,3,1,12,4,6,8,6,9,8,4,5,2,23,1,4,6,3,25,6,7,5,5,34,4,7,3,3,23,4,2,6,-,27,2,3,5,3,7,4,2,3,-,16,469,Mineye`,MMR015003
 Yes - a lot of difficulty,-,-,-,-,-,-,-,-,2,-,1,-,-,1,-,1,-,-,2,-,4,2,1,-,1,6,2,-,1,1,8,3,4,2,1,4,-,-,4,-,6,2,-,1,-,3,1,-,1,-,1,1,-,1,-,3,-,-,2,1,2,-,-,-,-,3,2,-,1,-,10,1,1,1,3,3,1,1,1,1,6,-,-,-,-,-,-,1,-,-,3,115,Mineye`,MMR015003
 Yes - cannot hear at all,-,-,1,1,-,-,-,1,-,-,-,-,1,2,-,1,-,2,2,-,6,-,3,1,-,7,-,2,2,-,7,-,2,2,2,3,1,-,3,1,2,1,-,-,1,3,-,-,1,1,2,-,-,-,-,-,-,1,-,-,2,-,-,-,-,1,1,-,-,-,4,-,-,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,1,-,2,79,Mineye`,MMR015003
 Total,981,1067,1280,1362,1203,1409,1325,1278,1441,1088,1708,1103,1433,1163,886,1351,913,951,1396,708,1877,652,954,811,635,1773,675,748,957,594,2430,429,630,543,502,1750,550,588,788,402,2056,346,620,554,337,1576,466,459,589,318,1739,286,468,451,401,913,504,350,392,212,1091,137,201,202,118,458,106,135,105,47,440,47,72,52,46,163,47,24,55,18,198,10,24,27,14,43,13,16,10,9,77,59376,Mineye`,MMR015003
