Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,2171,2262,2233,2493,2519,2454,2454,2617,2477,2572,2721,2588,2981,3049,2648,2676,2518,2545,2771,2237,2953,2122,2368,2300,1978,2826,1984,2505,2466,2176,3171,2038,2377,2337,1821,3204,1902,2277,2300,1814,2618,1548,2253,2169,1519,2603,1470,1935,1793,1350,2216,1301,1466,1512,1247,1843,1033,1226,1150,853,1410,759,841,905,673,1136,551,843,476,375,836,332,421,426,284,720,275,370,397,178,443,156,229,188,135,231,86,117,78,52,240,145173,Khin U,MMR005005
 Yes - some difficulty,3,1,1,1,1,2,2,-,2,4,2,1,7,3,3,-,1,3,1,7,3,1,1,4,1,3,1,6,3,3,2,3,-,5,4,7,5,5,-,4,11,2,7,9,3,3,8,6,9,4,14,8,5,13,13,25,7,11,14,8,26,9,19,14,12,34,13,26,12,12,38,11,12,19,20,47,23,39,42,24,59,24,23,24,21,29,10,30,15,6,68,1047,Khin U,MMR005005
 Yes - a lot of difficulty,-,-,-,-,-,1,1,1,-,-,-,1,2,1,-,-,-,-,2,-,2,1,-,-,2,1,-,-,1,1,2,3,-,1,1,1,-,-,1,-,-,-,-,1,-,3,2,-,-,-,2,-,1,-,2,1,1,-,-,2,1,1,2,-,2,2,1,2,3,-,8,-,6,2,2,9,2,1,5,3,11,5,3,11,2,3,3,1,5,2,18,157,Khin U,MMR005005
 Yes - cannot hear at all,1,-,-,1,3,1,-,1,1,2,3,3,1,2,-,-,1,-,1,1,1,-,-,-,-,1,1,-,-,1,-,-,-,1,-,3,1,-,-,-,-,-,1,1,1,1,3,-,2,-,3,1,1,-,2,-,-,-,-,-,3,1,-,-,-,2,1,2,1,-,1,1,-,-,1,1,-,-,1,1,1,1,2,2,1,2,2,1,1,1,3,80,Khin U,MMR005005
 Total,2175,2263,2234,2495,2523,2458,2457,2619,2480,2578,2726,2593,2991,3055,2651,2676,2520,2548,2775,2245,2959,2124,2369,2304,1981,2831,1986,2511,2470,2181,3175,2044,2377,2344,1826,3215,1908,2282,2301,1818,2629,1550,2261,2180,1523,2610,1483,1941,1804,1354,2235,1310,1473,1525,1264,1869,1041,1237,1164,863,1440,770,862,919,687,1174,566,873,492,387,883,344,439,447,307,777,300,410,445,206,514,186,257,225,159,265,101,149,99,61,329,146457,Khin U,MMR005005
