Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,3187,3378,3741,3981,4306,3967,4148,4148,3835,3910,4027,4141,4275,4562,4353,4207,3784,3625,3729,3112,3609,2870,3162,3015,2860,3514,2819,2944,3281,2824,3528,2606,2788,2889,2489,3226,2450,2611,3049,2583,3072,2040,3071,2523,2475,3023,2422,2122,2507,1948,2538,1841,1999,2123,1713,2180,1640,1463,1643,1227,1628,1048,1167,1093,874,1229,821,918,726,536,844,419,472,467,433,695,417,327,380,197,327,190,175,193,167,205,95,76,60,45,165,197492,Nyaunglebin,MMR007005
 Yes - some difficulty,9,1,-,-,3,5,5,7,8,2,8,5,8,5,8,5,5,2,6,1,5,2,1,3,4,9,3,6,1,4,6,2,7,3,4,7,5,9,6,4,9,6,11,9,9,9,8,9,17,7,21,11,15,20,18,25,14,13,22,20,28,13,28,24,32,44,30,52,22,22,53,27,32,47,37,70,55,33,65,35,58,38,44,47,46,48,28,17,23,20,47,1622,Nyaunglebin,MMR007005
 Yes - a lot of difficulty,-,1,1,-,-,2,2,1,1,1,1,1,1,-,1,1,2,-,1,3,1,-,-,-,-,2,1,-,-,-,1,1,-,-,-,4,1,1,-,-,3,2,1,1,1,1,2,2,1,4,1,-,1,1,1,4,1,2,1,6,7,-,6,2,1,3,1,2,2,3,6,-,2,2,3,11,6,6,5,4,9,14,6,8,6,12,7,4,5,1,14,226,Nyaunglebin,MMR007005
 Yes - cannot hear at all,-,1,-,1,1,-,1,2,3,1,1,-,1,1,1,-,1,3,1,4,4,3,2,-,1,2,-,1,1,-,1,-,3,-,-,3,-,-,4,1,3,1,2,1,4,3,1,-,3,-,4,2,3,-,3,4,-,-,-,-,2,4,1,1,1,4,2,1,-,-,3,1,1,3,2,2,-,1,-,1,3,2,-,6,1,5,-,2,-,2,9,143,Nyaunglebin,MMR007005
 Total,3196,3381,3742,3982,4310,3974,4156,4158,3847,3914,4037,4147,4285,4568,4363,4213,3792,3630,3737,3120,3619,2875,3165,3018,2865,3527,2823,2951,3283,2828,3536,2609,2798,2892,2493,3240,2456,2621,3059,2588,3087,2049,3085,2534,2489,3036,2433,2133,2528,1959,2564,1854,2018,2144,1735,2213,1655,1478,1666,1253,1665,1065,1202,1120,908,1280,854,973,750,561,906,447,507,519,475,778,478,367,450,237,397,244,225,254,220,270,130,99,88,68,235,199483,Nyaunglebin,MMR007005
