Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,363,402,425,549,506,459,471,459,397,434,509,481,545,612,499,424,338,331,367,302,389,337,335,343,285,340,317,327,372,332,450,286,357,305,275,404,260,276,337,264,397,183,338,265,224,354,207,213,274,192,312,153,225,227,175,255,236,194,218,121,284,109,159,151,112,176,112,104,85,35,132,34,69,51,60,72,40,28,37,8,44,13,23,14,13,25,13,8,6,5,31,22280,Khawzar,MMR011006
 Yes - some difficulty,-,-,-,1,1,-,3,2,2,1,-,-,1,1,1,2,-,-,1,1,-,-,-,-,-,2,1,-,1,1,-,3,-,1,2,2,2,1,4,3,4,-,1,2,4,5,3,3,6,3,3,3,1,5,5,9,6,7,14,8,9,4,6,9,4,12,10,8,12,7,14,1,12,4,7,9,5,7,9,-,9,3,4,3,9,3,3,3,3,-,12,333,Khawzar,MMR011006
 Yes - a lot of difficulty,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,1,-,-,2,-,1,1,-,1,-,-,-,-,-,2,-,1,1,1,2,1,1,1,-,-,-,2,-,-,-,1,2,-,1,1,-,2,34,Khawzar,MMR011006
 Yes - cannot hear at all,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,16,Khawzar,MMR011006
 Total,364,402,425,550,507,460,476,461,400,435,509,481,546,614,500,426,339,331,369,303,390,338,335,343,285,342,318,327,373,334,450,289,357,306,277,407,262,277,342,267,401,183,339,267,228,360,212,216,281,195,315,157,226,232,181,264,244,203,234,130,294,113,166,160,116,188,122,112,99,42,147,36,82,57,68,84,46,35,46,8,55,16,28,17,23,30,16,12,10,5,45,22663,Khawzar,MMR011006
