Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,4226,4211,4452,4447,4602,4362,4695,4777,4625,4333,4764,4343,4881,5130,4922,4644,4240,4345,5511,4489,5822,4588,4693,4816,4343,5399,4350,4632,5053,4318,5735,3914,4624,4361,3660,5074,3584,3584,4117,3222,4135,2736,3820,3431,2742,4139,2846,2911,2968,2272,3321,2145,2454,2399,2131,2905,1994,1854,1930,1406,2170,1278,1430,1567,1226,1640,854,1101,771,541,992,467,555,566,384,932,387,364,402,205,439,190,234,233,168,235,121,121,81,60,302,256443,Kyaukse,MMR010013
 Yes - some difficulty,12,8,2,3,2,5,1,4,3,6,4,4,7,3,5,6,6,2,2,3,6,-,4,6,2,1,6,11,4,5,11,2,7,7,4,12,8,10,8,2,8,6,8,3,11,15,6,9,11,10,13,8,10,16,10,25,10,17,15,13,26,22,16,23,18,42,22,26,13,11,31,14,31,21,27,59,18,18,35,21,45,18,18,28,19,33,13,12,17,10,48,1183,Kyaukse,MMR010013
 Yes - a lot of difficulty,1,-,-,1,4,-,2,1,2,1,-,2,1,2,-,3,1,1,1,-,4,1,1,-,1,3,2,2,1,2,-,1,1,1,2,1,-,1,-,-,1,-,3,1,1,2,2,3,-,2,-,1,1,2,1,3,1,2,2,3,4,2,2,-,4,5,1,2,3,1,5,4,2,4,4,5,2,2,6,-,6,2,3,3,3,5,3,2,3,2,9,177,Kyaukse,MMR010013
 Yes - cannot hear at all,-,-,-,1,-,1,3,1,2,3,3,-,2,1,1,1,1,-,1,3,1,1,-,-,1,-,3,1,1,1,2,-,-,2,2,2,1,1,2,1,2,-,1,-,2,2,2,-,2,1,2,-,-,1,-,3,-,-,-,-,1,-,1,-,-,3,2,1,1,-,5,3,1,1,4,1,3,-,-,1,1,-,-,1,-,2,1,-,-,2,5,104,Kyaukse,MMR010013
 Total,4239,4219,4454,4452,4608,4368,4701,4783,4632,4343,4771,4349,4891,5136,4928,4654,4248,4348,5515,4495,5833,4590,4698,4822,4347,5403,4361,4646,5059,4326,5748,3917,4632,4371,3668,5089,3593,3596,4127,3225,4146,2742,3832,3435,2756,4158,2856,2923,2981,2285,3336,2154,2465,2418,2142,2936,2005,1873,1947,1422,2201,1302,1449,1590,1248,1690,879,1130,788,553,1033,488,589,592,419,997,410,384,443,227,491,210,255,265,190,275,138,135,101,74,364,257907,Kyaukse,MMR010013
