Disability_hearing,Age_Under_1,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,Age_11,Age_12,Age_13,Age_14,Age_15,Age_16,Age_17,Age_18,Age_19,Age_20,Age_21,Age_22,Age_23,Age_24,Age_25,Age_26,Age_27,Age_28,Age_29,Age_30,Age_31,Age_32,Age_33,Age_34,Age_35,Age_36,Age_37,Age_38,Age_39,Age_40,Age_41,Age_42,Age_43,Age_44,Age_45,Age_46,Age_47,Age_48,Age_49,Age_50,Age_51,Age_52,Age_53,Age_54,Age_55,Age_56,Age_57,Age_58,Age_59,Age_60,Age_61,Age_62,Age_63,Age_64,Age_65,Age_66,Age_67,Age_68,Age_69,Age_70,Age_71,Age_72,Age_73,Age_74,Age_75,Age_76,Age_77,Age_78,Age_79,Age_80,Age_81,Age_82,Age_83,Age_84,Age_85,Age_86,Age_87,Age_88,Age_89,Age_90_and_above,Age_Total,Township,MIMU_code
 No - no difficulty,1897,2034,2222,2193,2472,2274,2477,2776,2357,2501,2632,2625,2677,2855,2593,2283,2145,2362,2285,2085,2257,1854,1599,1806,1616,1932,1675,1756,1873,1871,2109,1838,1930,1812,1702,2220,1692,1836,1894,1873,2146,1609,1905,1877,1756,2389,1690,1637,1732,1481,1868,1472,1597,1595,1340,1484,1207,1313,1192,988,1295,994,1051,1024,901,1057,805,845,684,486,741,404,494,492,421,694,350,340,334,235,314,165,173,173,127,167,72,61,43,52,129,132291,Yenangyoung,MMR009002
 Yes - some difficulty,6,2,1,2,1,1,3,4,2,4,2,3,3,5,8,6,7,-,3,6,2,1,2,2,2,2,4,4,6,5,4,5,3,7,4,10,13,6,6,7,7,8,12,8,12,15,15,14,16,11,14,17,20,17,15,15,21,28,11,21,30,15,35,33,22,31,20,60,23,27,71,27,34,45,39,85,34,42,54,44,65,27,39,32,36,40,22,22,13,8,51,1587,Yenangyoung,MMR009002
 Yes - a lot of difficulty,-,1,-,-,1,1,1,-,2,1,1,1,2,1,2,-,-,1,2,1,-,-,-,-,2,1,-,1,-,1,-,2,-,2,-,-,2,-,1,3,2,1,2,2,-,1,3,4,1,3,1,2,1,-,3,1,4,3,2,2,4,2,5,2,4,11,2,3,5,3,6,3,2,7,7,11,5,6,8,8,4,3,9,9,6,5,2,1,5,2,10,231,Yenangyoung,MMR009002
 Yes - cannot hear at all,-,-,1,-,1,-,-,-,-,1,2,2,-,1,-,1,1,1,-,2,-,1,-,-,-,2,1,2,-,1,-,-,-,-,2,1,-,1,2,1,1,-,1,1,2,3,-,-,-,1,5,1,2,-,1,-,4,2,2,-,1,1,1,-,2,1,1,2,-,7,2,1,4,3,1,4,2,2,2,3,4,2,3,2,1,3,2,2,1,1,4,118,Yenangyoung,MMR009002
 Total,1903,2037,2224,2195,2475,2276,2481,2780,2361,2507,2637,2631,2682,2862,2603,2290,2153,2364,2290,2094,2259,1856,1601,1808,1620,1937,1680,1763,1879,1878,2113,1845,1933,1821,1708,2231,1707,1843,1903,1884,2156,1618,1920,1888,1770,2408,1708,1655,1749,1496,1888,1492,1620,1612,1359,1500,1236,1346,1207,1011,1330,1012,1092,1059,929,1100,828,910,712,523,820,435,534,547,468,794,391,390,398,290,387,197,224,216,170,215,98,86,62,63,194,134227,Yenangyoung,MMR009002
