Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,31,44,75,Mawhtike(ST),MMR015023
 Bungalow/Brick house,5,186,191,Mawhtike(ST),MMR015023
 Semi-pacca house,20,1130,1150,Mawhtike(ST),MMR015023
 Wooden house,22,531,553,Mawhtike(ST),MMR015023
 Bamboo,-,789,789,Mawhtike(ST),MMR015023
 Hut 2 - 3 years,-,19,19,Mawhtike(ST),MMR015023
 Hut 1 year,-,6,6,Mawhtike(ST),MMR015023
 Other,7,1413,1420,Mawhtike(ST),MMR015023
 Total,85,4118,4203,Mawhtike(ST),MMR015023
