Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,19003,-,19003,Mingala Taungnyunt,MMR013022
 Bungalow/Brick house,698,-,698,Mingala Taungnyunt,MMR013022
 Semi-pacca house,1003,-,1003,Mingala Taungnyunt,MMR013022
 Wooden house,4537,-,4537,Mingala Taungnyunt,MMR013022
 Bamboo,433,-,433,Mingala Taungnyunt,MMR013022
 Hut 2 - 3 years,56,-,56,Mingala Taungnyunt,MMR013022
 Hut 1 year,45,-,45,Mingala Taungnyunt,MMR013022
 Other,143,-,143,Mingala Taungnyunt,MMR013022
 Total,25918,-,25918,Mingala Taungnyunt,MMR013022
