Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,6,73,79,Lounglon,MMR006002
 Bungalow/Brick house,197,3292,3489,Lounglon,MMR006002
 Semi-pacca house,240,3203,3443,Lounglon,MMR006002
 Wooden house,658,13206,13864,Lounglon,MMR006002
 Bamboo,108,4043,4151,Lounglon,MMR006002
 Hut 2 - 3 years,10,440,450,Lounglon,MMR006002
 Hut 1 year,14,170,184,Lounglon,MMR006002
 Other,7,68,75,Lounglon,MMR006002
 Total,1240,24495,25735,Lounglon,MMR006002
