Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,86,33,119,Talay(ST),MMR016009
 Bungalow/Brick house,333,649,982,Talay(ST),MMR016009
 Semi-pacca house,208,539,747,Talay(ST),MMR016009
 Wooden house,126,901,1027,Talay(ST),MMR016009
 Bamboo,99,940,1039,Talay(ST),MMR016009
 Hut 2 - 3 years,17,41,58,Talay(ST),MMR016009
 Hut 1 year,4,12,16,Talay(ST),MMR016009
 Other,-,30,30,Talay(ST),MMR016009
 Total,873,3145,4018,Talay(ST),MMR016009
