Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,23,4,27,Ywarngan,MMR014007
 Bungalow/Brick house,509,4330,4839,Ywarngan,MMR014007
 Semi-pacca house,245,2838,3083,Ywarngan,MMR014007
 Wooden house,84,4616,4700,Ywarngan,MMR014007
 Bamboo,284,5076,5360,Ywarngan,MMR014007
 Hut 2 - 3 years,5,187,192,Ywarngan,MMR014007
 Hut 1 year,2,44,46,Ywarngan,MMR014007
 Other,3,98,101,Ywarngan,MMR014007
 Total,1155,17193,18348,Ywarngan,MMR014007
