Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,93,-,93,Paletwat,MMR004009
 Bungalow/Brick house,53,-,53,Paletwat,MMR004009
 Semi-pacca house,95,26,121,Paletwat,MMR004009
 Wooden house,481,2213,2694,Paletwat,MMR004009
 Bamboo,618,9593,10211,Paletwat,MMR004009
 Hut 2 - 3 years,2,66,68,Paletwat,MMR004009
 Hut 1 year,4,37,41,Paletwat,MMR004009
 Other,4,8,12,Paletwat,MMR004009
 Total,1350,11943,13293,Paletwat,MMR004009
