Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,227,209,436,Minepan,MMR014021
 Bungalow/Brick house,277,71,348,Minepan,MMR014021
 Semi-pacca house,420,116,536,Minepan,MMR014021
 Wooden house,734,1156,1890,Minepan,MMR014021
 Bamboo,290,1758,2048,Minepan,MMR014021
 Hut 2 - 3 years,8,75,83,Minepan,MMR014021
 Hut 1 year,2,39,41,Minepan,MMR014021
 Other,1,38,39,Minepan,MMR014021
 Total,1959,3462,5421,Minepan,MMR014021
