Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,130,84,214,Tharyarwaddy,MMR008007
 Bungalow/Brick house,707,199,906,Tharyarwaddy,MMR008007
 Semi-pacca house,1084,1113,2197,Tharyarwaddy,MMR008007
 Wooden house,4335,15847,20182,Tharyarwaddy,MMR008007
 Bamboo,1831,10694,12525,Tharyarwaddy,MMR008007
 Hut 2 - 3 years,20,280,300,Tharyarwaddy,MMR008007
 Hut 1 year,36,212,248,Tharyarwaddy,MMR008007
 Other,21,33,54,Tharyarwaddy,MMR008007
 Total,8164,28462,36626,Tharyarwaddy,MMR008007
