Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,15549,-,15549,Thingangyun,MMR013009
 Bungalow/Brick house,4792,-,4792,Thingangyun,MMR013009
 Semi-pacca house,5110,-,5110,Thingangyun,MMR013009
 Wooden house,15908,-,15908,Thingangyun,MMR013009
 Bamboo,1028,-,1028,Thingangyun,MMR013009
 Hut 2 - 3 years,231,-,231,Thingangyun,MMR013009
 Hut 1 year,139,-,139,Thingangyun,MMR013009
 Other,563,-,563,Thingangyun,MMR013009
 Total,43320,-,43320,Thingangyun,MMR013009
