Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,6631,1773,8404,Mingaladon,MMR013002
 Bungalow/Brick house,4779,2666,7445,Mingaladon,MMR013002
 Semi-pacca house,7341,2988,10329,Mingaladon,MMR013002
 Wooden house,17296,11379,28675,Mingaladon,MMR013002
 Bamboo,4600,5218,9818,Mingaladon,MMR013002
 Hut 2 - 3 years,181,252,433,Mingaladon,MMR013002
 Hut 1 year,103,113,216,Mingaladon,MMR013002
 Other,710,273,983,Mingaladon,MMR013002
 Total,41641,24662,66303,Mingaladon,MMR013002
