Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,90,77,167,Karli(ST),MMR014014
 Bungalow/Brick house,685,273,958,Karli(ST),MMR014014
 Semi-pacca house,167,270,437,Karli(ST),MMR014014
 Wooden house,162,1790,1952,Karli(ST),MMR014014
 Bamboo,526,2446,2972,Karli(ST),MMR014014
 Hut 2 - 3 years,21,27,48,Karli(ST),MMR014014
 Hut 1 year,4,17,21,Karli(ST),MMR014014
 Other,10,2,12,Karli(ST),MMR014014
 Total,1665,4902,6567,Karli(ST),MMR014014
