Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,29,28,57,Daydaye,MMR017026
 Bungalow/Brick house,247,262,509,Daydaye,MMR017026
 Semi-pacca house,301,710,1011,Daydaye,MMR017026
 Wooden house,1726,12309,14035,Daydaye,MMR017026
 Bamboo,1192,29002,30194,Daydaye,MMR017026
 Hut 2 - 3 years,27,1557,1584,Daydaye,MMR017026
 Hut 1 year,6,744,750,Daydaye,MMR017026
 Other,38,432,470,Daydaye,MMR017026
 Total,3566,45044,48610,Daydaye,MMR017026
