Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,29,323,352,Paukkhaung,MMR008002
 Bungalow/Brick house,248,129,377,Paukkhaung,MMR008002
 Semi-pacca house,410,445,855,Paukkhaung,MMR008002
 Wooden house,2255,15536,17791,Paukkhaung,MMR008002
 Bamboo,625,11124,11749,Paukkhaung,MMR008002
 Hut 2 - 3 years,28,809,837,Paukkhaung,MMR008002
 Hut 1 year,4,312,316,Paukkhaung,MMR008002
 Other,7,63,70,Paukkhaung,MMR008002
 Total,3606,28741,32347,Paukkhaung,MMR008002
