Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,402,284,686,Kyukme,MMR015012
 Bungalow/Brick house,3368,3296,6664,Kyukme,MMR015012
 Semi-pacca house,1321,1475,2796,Kyukme,MMR015012
 Wooden house,563,3469,4032,Kyukme,MMR015012
 Bamboo,2917,10428,13345,Kyukme,MMR015012
 Hut 2 - 3 years,21,299,320,Kyukme,MMR015012
 Hut 1 year,6,61,67,Kyukme,MMR015012
 Other,55,406,461,Kyukme,MMR015012
 Total,8653,19718,28371,Kyukme,MMR015012
