Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,2042,614,2656,Myitkyina,MMR001001
 Bungalow/Brick house,6741,404,7145,Myitkyina,MMR001001
 Semi-pacca house,5352,1021,6373,Myitkyina,MMR001001
 Wooden house,12637,3169,15806,Myitkyina,MMR001001
 Bamboo,12274,5469,17743,Myitkyina,MMR001001
 Hut 2 - 3 years,163,94,257,Myitkyina,MMR001001
 Hut 1 year,49,68,117,Myitkyina,MMR001001
 Other,410,76,486,Myitkyina,MMR001001
 Total,39668,10915,50583,Myitkyina,MMR001001
 Condominium/Apartment/Flat,57,193,250,Waingmaw,MMR001002
 Bungalow/Brick house,452,1022,1474,Waingmaw,MMR001002
 Semi-pacca house,694,1211,1905,Waingmaw,MMR001002
 Wooden house,738,2745,3483,Waingmaw,MMR001002
 Bamboo,1813,10417,12230,Waingmaw,MMR001002
 Hut 2 - 3 years,52,115,167,Waingmaw,MMR001002
 Hut 1 year,4,136,140,Waingmaw,MMR001002
 Other,10,121,131,Waingmaw,MMR001002
 Total,3820,15960,19780,Waingmaw,MMR001002
 Condominium/Apartment/Flat,3,-,3,Ingyanyan,MMR001003
 Semi-pacca house,-,4,4,Ingyanyan,MMR001003
 Wooden house,4,11,15,Ingyanyan,MMR001003
 Bamboo,66,192,258,Ingyanyan,MMR001003
 Hut 2 - 3 years,4,-,4,Ingyanyan,MMR001003
 Hut 1 year,1,-,1,Ingyanyan,MMR001003
 Total,78,207,285,Ingyanyan,MMR001003
 Condominium/Apartment/Flat,304,-,304,Tanaing,MMR001004
 Bungalow/Brick house,207,19,226,Tanaing,MMR001004
 Semi-pacca house,329,44,373,Tanaing,MMR001004
 Wooden house,1289,736,2025,Tanaing,MMR001004
 Bamboo,1551,1823,3374,Tanaing,MMR001004
 Hut 2 - 3 years,6,57,63,Tanaing,MMR001004
 Hut 1 year,3,20,23,Tanaing,MMR001004
 Other,5,5,10,Tanaing,MMR001004
 Total,3694,2704,6398,Tanaing,MMR001004
 Condominium/Apartment/Flat,16,16,32,Chiphwe,MMR001005
 Bungalow/Brick house,21,13,34,Chiphwe,MMR001005
 Semi-pacca house,34,17,51,Chiphwe,MMR001005
 Wooden house,73,1110,1183,Chiphwe,MMR001005
 Bamboo,181,435,616,Chiphwe,MMR001005
 Hut 2 - 3 years,4,9,13,Chiphwe,MMR001005
 Hut 1 year,-,1,1,Chiphwe,MMR001005
 Other,-,1,1,Chiphwe,MMR001005
 Total,329,1602,1931,Chiphwe,MMR001005
 Condominium/Apartment/Flat,2,-,2,Hsotlaw,MMR001006
 Bungalow/Brick house,-,1,1,Hsotlaw,MMR001006
 Semi-pacca house,1,-,1,Hsotlaw,MMR001006
 Wooden house,15,546,561,Hsotlaw,MMR001006
 Bamboo,48,433,481,Hsotlaw,MMR001006
 Hut 2 - 3 years,-,1,1,Hsotlaw,MMR001006
 Other,-,26,26,Hsotlaw,MMR001006
 Total,66,1007,1073,Hsotlaw,MMR001006
 Condominium/Apartment/Flat,59,-,59,Hsinbo(ST),MMR001001
 Bungalow/Brick house,14,10,24,Hsinbo(ST),MMR001001
 Semi-pacca house,66,30,96,Hsinbo(ST),MMR001001
 Wooden house,329,572,901,Hsinbo(ST),MMR001001
 Bamboo,212,679,891,Hsinbo(ST),MMR001001
 Hut 2 - 3 years,19,6,25,Hsinbo(ST),MMR001001
 Hut 1 year,3,5,8,Hsinbo(ST),MMR001001
 Other,2,2,4,Hsinbo(ST),MMR001001
 Total,704,1304,2008,Hsinbo(ST),MMR001001
 Condominium/Apartment/Flat,32,-,32,Hsadone(ST),MMR001002
 Bungalow/Brick house,29,21,50,Hsadone(ST),MMR001002
 Semi-pacca house,39,19,58,Hsadone(ST),MMR001002
 Wooden house,168,288,456,Hsadone(ST),MMR001002
 Bamboo,238,749,987,Hsadone(ST),MMR001002
 Hut 2 - 3 years,3,8,11,Hsadone(ST),MMR001002
 Hut 1 year,-,8,8,Hsadone(ST),MMR001002
 Other,1,7,8,Hsadone(ST),MMR001002
 Total,510,1100,1610,Hsadone(ST),MMR001002
 Condominium/Apartment/Flat,32,26,58,Kanpaikti(ST),MMR001002
 Bungalow/Brick house,5,55,60,Kanpaikti(ST),MMR001002
 Semi-pacca house,12,47,59,Kanpaikti(ST),MMR001002
 Wooden house,106,370,476,Kanpaikti(ST),MMR001002
 Bamboo,16,744,760,Kanpaikti(ST),MMR001002
 Hut 2 - 3 years,-,38,38,Kanpaikti(ST),MMR001002
 Hut 1 year,-,1,1,Kanpaikti(ST),MMR001002
 Other,3,15,18,Kanpaikti(ST),MMR001002
 Total,174,1296,1470,Kanpaikti(ST),MMR001002
 Condominium/Apartment/Flat,13,-,13,Shinbwayyan(ST),MMR001004
 Bungalow/Brick house,5,2,7,Shinbwayyan(ST),MMR001004
 Semi-pacca house,16,6,22,Shinbwayyan(ST),MMR001004
 Wooden house,464,236,700,Shinbwayyan(ST),MMR001004
 Bamboo,467,777,1244,Shinbwayyan(ST),MMR001004
 Hut 2 - 3 years,45,83,128,Shinbwayyan(ST),MMR001004
 Hut 1 year,10,1,11,Shinbwayyan(ST),MMR001004
 Other,5,-,5,Shinbwayyan(ST),MMR001004
 Total,1025,1105,2130,Shinbwayyan(ST),MMR001004
 Condominium/Apartment/Flat,23,54,77,Panwa(ST),MMR001005
 Bungalow/Brick house,3,26,29,Panwa(ST),MMR001005
 Semi-pacca house,15,24,39,Panwa(ST),MMR001005
 Wooden house,153,982,1135,Panwa(ST),MMR001005
 Bamboo,2,90,92,Panwa(ST),MMR001005
 Hut 2 - 3 years,-,2,2,Panwa(ST),MMR001005
 Other,-,1,1,Panwa(ST),MMR001005
 Total,196,1179,1375,Panwa(ST),MMR001005
 Condominium/Apartment/Flat,115,462,577,Mohnyin,MMR001007
 Bungalow/Brick house,925,808,1733,Mohnyin,MMR001007
 Semi-pacca house,771,1218,1989,Mohnyin,MMR001007
