Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,10,227,237,Mineyaung,MMR016011
 Bungalow/Brick house,399,838,1237,Mineyaung,MMR016011
 Semi-pacca house,250,948,1198,Mineyaung,MMR016011
 Wooden house,458,2670,3128,Mineyaung,MMR016011
 Bamboo,65,429,494,Mineyaung,MMR016011
 Hut 2 - 3 years,4,16,20,Mineyaung,MMR016011
 Hut 1 year,3,8,11,Mineyaung,MMR016011
 Other,1,3,4,Mineyaung,MMR016011
 Total,1190,5139,6329,Mineyaung,MMR016011
