Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,5,6,11,Laymyethna,MMR017010
 Bungalow/Brick house,26,95,121,Laymyethna,MMR017010
 Semi-pacca house,95,345,440,Laymyethna,MMR017010
 Wooden house,414,12217,12631,Laymyethna,MMR017010
 Bamboo,199,11928,12127,Laymyethna,MMR017010
 Hut 2 - 3 years,6,510,516,Laymyethna,MMR017010
 Hut 1 year,16,318,334,Laymyethna,MMR017010
 Other,9,55,64,Laymyethna,MMR017010
 Total,770,25474,26244,Laymyethna,MMR017010
