Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,22,2,24,Mindon,MMR009014
 Bungalow/Brick house,151,70,221,Mindon,MMR009014
 Semi-pacca house,168,250,418,Mindon,MMR009014
 Wooden house,489,8798,9287,Mindon,MMR009014
 Bamboo,436,6196,6632,Mindon,MMR009014
 Hut 2 - 3 years,3,130,133,Mindon,MMR009014
 Hut 1 year,1,70,71,Mindon,MMR009014
 Other,-,23,23,Mindon,MMR009014
 Total,1270,15539,16809,Mindon,MMR009014
