Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,130,454,584,Yame`thin,MMR010023
 Bungalow/Brick house,1114,2884,3998,Yame`thin,MMR010023
 Semi-pacca house,581,3139,3720,Yame`thin,MMR010023
 Wooden house,1993,29733,31726,Yame`thin,MMR010023
 Bamboo,1385,14904,16289,Yame`thin,MMR010023
 Hut 2 - 3 years,50,558,608,Yame`thin,MMR010023
 Hut 1 year,13,177,190,Yame`thin,MMR010023
 Other,61,83,144,Yame`thin,MMR010023
 Total,5327,51932,57259,Yame`thin,MMR010023
