Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Condominium/Apartment/Flat,1607,736,2343,Pyay,MMR008001
 Bungalow/Brick house,4298,1082,5380,Pyay,MMR008001
 Semi-pacca house,3799,1391,5190,Pyay,MMR008001
 Wooden house,10426,17434,27860,Pyay,MMR008001
 Bamboo,8085,7554,15639,Pyay,MMR008001
 Hut 2 - 3 years,306,1124,1430,Pyay,MMR008001
 Hut 1 year,139,389,528,Pyay,MMR008001
 Other,155,32,187,Pyay,MMR008001
 Total,28815,29742,58557,Pyay,MMR008001
